TRAINABLE LAYERS:MODEL_LAYER: backbone.conv1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.0.bn1.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.0.conv2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.0.bn2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.0.bn2.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.0.conv3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.0.bn3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.0.bn3.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.0.downsample.0.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.0.downsample.1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.0.downsample.1.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.1.conv1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.1.bn1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.1.bn1.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.1.conv2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.1.bn2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.1.bn2.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.1.conv3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.1.bn3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.1.bn3.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.2.conv1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.2.bn1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.2.bn1.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.2.conv2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.2.bn2.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.2.bn2.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.2.conv3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.2.bn3.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.2.bn3.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.3.conv1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.3.bn1.weight 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.3.bn1.bias 	 REQUIRES TRAINING: False
MODEL_LAYER: backbone.layer3.3.conv2.weight 	 REQUIRES TRAINING: False
